var_name,h,mae,n
CO2_0.5,1,117.77670499107512,1918.0
CO2_0.5,2,123.4886415806921,1917.0
CO2_0.5,4,125.53352434242986,1915.0
CO2_0.5,8,125.372000605944,1911.0
CO2_0.5,12,124.48812154080771,1907.0
CO2_1.5,1,130.49873083152414,1918.0
CO2_1.5,2,137.8701808971232,1917.0
CO2_1.5,4,139.6353754028639,1915.0
CO2_1.5,8,139.69277987637363,1911.0
CO2_1.5,12,139.6322808828289,1907.0
NH3_0.5,1,1.0187825617128916,1918.0
NH3_0.5,2,1.101234257687612,1917.0
NH3_0.5,4,1.1943646425989216,1915.0
NH3_0.5,8,1.2885496335650912,1911.0
NH3_0.5,12,1.2740007522034908,1907.0
NH3_1.5,1,0.816840783522947,1918.0
NH3_1.5,2,0.910717850373198,1917.0
NH3_1.5,4,1.0497299735913388,1915.0
NH3_1.5,8,1.1631320096759008,1911.0
NH3_1.5,12,1.1915365209364428,1907.0
RH_0.5,1,4.264042730500477,1918.0
RH_0.5,2,4.505741590500873,1917.0
RH_0.5,4,4.608080721523992,1915.0
RH_0.5,8,4.608920118310949,1911.0
RH_0.5,12,4.64502111804004,1907.0
RH_1.5,1,3.973782708174991,1918.0
RH_1.5,2,4.208365126705816,1917.0
RH_1.5,4,4.283460202976555,1915.0
RH_1.5,8,4.290770140697294,1911.0
RH_1.5,12,4.3150400850369035,1907.0
T_0.5,1,0.567765920080159,1918.0
T_0.5,2,0.5928543669890164,1917.0
T_0.5,4,0.6010269961842669,1915.0
T_0.5,8,0.5994182369086457,1911.0
T_0.5,12,0.5995274040170159,1907.0
T_1.5,1,0.5506848135382341,1918.0
T_1.5,2,0.5689929878581111,1917.0
T_1.5,4,0.5740772605876076,1915.0
T_1.5,8,0.5722953580799433,1911.0
T_1.5,12,0.5736588516595418,1907.0
evaporation,1,15.767433892373518,1918.0
evaporation,2,16.223697598599262,1917.0
evaporation,4,16.3572939381444,1915.0
evaporation,8,16.38482195309045,1911.0
evaporation,12,16.260244504454647,1907.0
fan_power_w,1,23.89136502185949,1918.0
fan_power_w,2,24.379792989439032,1917.0
fan_power_w,4,24.454648996881748,1915.0
fan_power_w,8,24.4694304877218,1911.0
fan_power_w,12,24.493394797100315,1907.0
fan_rpm,1,125.12741766209386,1918.0
fan_rpm,2,132.27877407566223,1917.0
fan_rpm,4,133.41899375342564,1915.0
fan_rpm,8,132.93834848293878,1911.0
fan_rpm,12,132.68713452044355,1907.0
heating_value,1,38.72506029687907,1918.0
heating_value,2,51.55939274699848,1917.0
heating_value,4,65.14670990229276,1915.0
heating_value,8,74.27415273876979,1911.0
heating_value,12,77.40940625691326,1907.0
inside_humidity,1,2.480187988877918,1918.0
inside_humidity,2,3.0471052130996155,1917.0
inside_humidity,4,3.7758053881692515,1915.0
inside_humidity,8,4.7228430703570865,1911.0
inside_humidity,12,5.3357285798127325,1907.0
inside_temp,1,0.3508731108139404,1918.0
inside_temp,2,0.44796548563798516,1917.0
inside_temp,4,0.5426933886176923,1915.0
inside_temp,8,0.6408975652098843,1911.0
inside_temp,12,0.6909526810948613,1907.0
outside_humidity,1,2.871153848387526,1918.0
outside_humidity,2,3.578160022781364,1917.0
outside_humidity,4,4.3829507653458,1915.0
outside_humidity,8,5.4688818436028255,1911.0
outside_humidity,12,6.186070608730146,1907.0
outside_temp,1,0.9001307763446732,1918.0
outside_temp,2,1.1264997379320887,1917.0
outside_temp,4,1.4396568365570148,1915.0
outside_temp,8,1.8566232620890013,1911.0
outside_temp,12,2.1274245244142707,1907.0
ventilation,1,0.18901840734904451,1918.0
ventilation,2,0.24334962276599031,1917.0
ventilation,4,0.30415148146781223,1915.0
ventilation,8,0.33973757229445184,1911.0
ventilation,12,0.35143101593556675,1907.0
